sample_id,date,year,month,month_num,season,location,latitude,longitude,tide_type,tide_phase,sampling_start,sampling_end,time,hour,interval_hr,weather,wind_speed_kmh,wind_direction,water_temp_c,depth_m,ph,ec_ms_cm,salinity_ppt,do_mg_l,orp_mv,turbidity_ntu,tds_ppt,tss_mg_l,nh3_n_mg_l,nitrate_mg_l,sulphate_mg_l,phosphate_mg_l,alkalinity_mg_l,hardness_titration_ml,hardness_total_mg_l,fe_mg_l,oil_grease_mg_l,remarks
K_12_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,3:00 PM,3,2,Sunny,15,S,31.6,6,7.87,33.9,21.9,5.9,153.2,200,17,291,3.76,6,130,0.9,130,496,2480,0.03,155.9,N/A
K_13_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,5:00 PM,5,2,Light Sunny,30.3,SE,31.6,6.6,7.84,33.9,21.9,5.9,159.7,127,17,150,3.82,6.4,129,1.7,140,430,2150,0.05,109.4,N/A
K_14_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,7:00 AM,7,2,Light cloud,7.9,S,31,4.7,7.88,33.2,21.4,7.3,118.8,154,16.6,137,4.73,2.8,132,0.4,40,404,2020,0.01,102.4,N/A
K_15_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,9:00 AM,9,2,Cloudy,22.5,S,31.1,6.9,7.89,33.5,21.7,6.3,125.8,78.8,16.8,149,4.89,3.4,134,0.4,100,410,2050,0.08,117.3,N/A
K_16_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,11:00 AM,11,2,Sunny,21.5,SW,30.8,8.1,7.9,32.2,20.7,6.2,98.8,251,16.1,431,4.75,6.4,129,1.3,160,373,1865,0.07,177.6,N/A
K_17_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,1:00 PM,1,2,Sunny,16.5,SW,30.9,8.6,7.86,30.8,19.7,6,78.4,145,15.4,239,4.43,2.8,128,0.4,140,381,1905,0.01,125.6,N/A
K_18_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,3:00 PM,3,2,Sunny,11.5,S,30.9,7.9,7.85,30.8,19.7,5.9,79.1,60.1,15.4,116,4.4,6.3,127,0.3,110,393,1965,0.05,99.2,N/A
K_19_6_19_2023, 6/19/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,5:00 PM,5,2,Light Sunny,10.8,S,30.8,6.6,7.87,32,20.6,6.2,77.5,212,16,290,4.65,2.5,131,0.4,100,388,1940,0.05,58,N/A
K_20_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,7:00 AM,7,2,Cloudy,9,S,30.6,8.6,7.83,4.09,2.23,7.2,104.3,52,2.05,85,0.24,3.2,91,0.9,100,42,210,0.06,118.8,N/A
K_21_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,9:00 AM,9,2,Sunny,18.3,S,30.8,8.1,7.83,4,2.17,6.1,116.1,44.7,2,55,0.28,3,91,0.5,180,50,250,0.06,151.8,N/A
K_22_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,11:00 AM,11,2,Cloudy ,15.3,S,30.8,7.5,7.92,3.36,1.89,6.1,119.3,70.4,1.68,96,0.19,2.8,86,0.7,90,41,205,0.07,190.6,Huge wave
K_23_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,1:00 PM,1,2,Cloudy,9.3,E,30.8,6.5,7.85,2.81,1.49,6,122.8,273,1.41,361,0.2,2.2,78,1.5,140,41,205,0.11,158.6,"Heavy rain from, 11:20am - 11:50am"
K_24_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,3:00 PM,3,2,Cloudy,5.7,W,30.7,6,7.86,2.05,1.07,6,131.9,153,1.03,249,0.15,2.8,67,1.1,130,28,140,0.09,162.2, Ship passed 
K_25_7_12_2023, 7/12/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,5:00 PM,5,2,Sunny ,5.6,S,30.9,7,7.82,2.15,1.12,6.2,134.3,65.5,1.1,107,0.19,2.6,63,0.9,80,26,130,0.07,151.2,LPG Ship passed
K_26_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,7:00 AM,7,2,Partly cloudy,12.9,SE,30.8,5.8,7.92,1.15,0.6,8.1,4.3,334,0.58,524,0.08,2.5,39,0.8,240,20,100,0.05,153.7,N/A
K_27_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,9:00 AM,9,2,Sunny,25,SE,30.9,5.8,7.93,1.45,0.74,6.3,4.1,376,0.74,547,0.12,2.9,49,0.1,30,18,90,0.07,160.4,N/A
K_28_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,11:00 AM,11,2,Partly cloudy,40.6,E,30.9,7.7,7.81,0.96,0.47,6.5,1.5,262,0.46,390,0.1,1.3,32,1.2,70,20,100,0.07,148.3,N/A
K_29_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,1:00 PM,1,2,Sunny,20.1,E,31.1,8.9,7.77,2.46,1.3,6.2,2.6,286,1.24,475,0.12,1.5,72,0.4,110,34,170,0.08,123.3,N/A
K_30_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,3:00 PM,3,2,Sunny,18.3,SE,31.1,8.4,7.82,2.74,1.46,6.1,90.5,122,1.37,265,0.07,3.2,77,0.4,120,35,175,0.05,128.1,N/A
K_31_7_20_2023,7/20/2023,2023,July,7,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,5:00 PM,5,2,Sunny ,17.6,SE,31.1,7.6,7.88,2.16,1.12,6.3,2.5,91.5,1.08,174,0.18,2.2,68,0.4,50,27,135,0.05,54.1,Huge wave
K_32_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,7:30 AM,7.5,2,Cloudy,14.7,SW,30.4,5.9,7.8,1.35,0.6,6.9,91.9,358,0.68,563,0.36,2.9,37,0.9,380,11,55,0.09,63.6,N/A
K_33_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,9:00 AM,9,2,Cloudy,14,W,30.5,5.2,7.76,1.31,0.51,6,11.4,489,0.55,835,0.24,2.4,28,1.1,390,14,70,0.1,88.1,N/A
K_34_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,11:00 AM,11,2,Drizzling,25.5,SW,30.4,5.5,7.76,1.76,0.75,5.4,128.3,413,0.88,582,0.23,3,44,1,410,23,115,0.08,80.7,High tide starts at 10am
K_35_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,1:00 PM,1,2,Light rain,14.7,SW,30.2,8.5,7.75,1.77,0.79,5.2,2.3,324,0.87,488,0.3,2.6,49,1,430,23,115,0.07,57.8,N/A
K_36_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,3:00 PM,3,2,Cloudy,11.8,SW,30.1,9.2,7.75,1.81,0.95,4.6,2.2,205,0.92,369,0.28,0.1,56,0.9,500,28,140,0.09,114.7,N/A
K_37_8_5_2023,8/5/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,5:00 PM,5,2,Cloudy,10,SW,30.1,8.3,7.78,1.93,0.98,4.9,1.7,131,0.96,249,0.29,1.3,59,0.8,450,29,145,0.08,150.7,N/A
K_38_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,7:30 AM,7.5,2,Cloudy,6.8,S,29.92,8.4,7.69,0.543,0.26,7.72,247,104,0.27,203,0.13,2.2,16,0.5,110,17,85,0.08,129.1,N/A
K_39_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,9:00 AM,9,2,Cloudy,8,S,29.94,8,7.84,0.595,0.28,7.33,237.5,113,0.297,199,0.09,3.2,17,0.7,100,19,95,0.04,133.4,N/A
K_40_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,11:00 AM,11,2,Cloudy,9,W,30,7.4,7.85,0.455,0.22,8.14,224.6,104,0.229,225,0.05,3.3,12,0.8,50,18,90,0.07,113.8,N/A
K_41_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,1:00 PM,1,2,Cloudy,5.3,SW,30.09,6,7.81,0.794,0.38,7.96,186.4,217,0.398,354,0.09,2.3,22,0.8,110,19,95,0.07,118.9,N/A
K_42_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,3:00 PM,3,2,Cloudy,12.9,S,30.18,4.8,7.87,0.403,0.19,8.32,198.6,239,0.201,423,0.04,3.1,10,0.9,40,13,65,0.09,132.6,N/A
K_43_8_27_2023,8/27/2023,2023,August,8,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,5:00 PM,5,2,Cloudy,5,W,30.18,7.5,7.86,0.382,0.18,7.64,202.4,147,0.191,275,0.04,2.4,13,0.2,170,16,80,0.07,121.2,Navy ship passed 
K_44_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,7:30 AM,7.5,2,Rainy ,6.8,SE,29.79,7.1,7.91,0.514,0.24,6.6,59.1,107,0.257,156,0.07,2.9,19,1.1,50,6,30,0.08,328.5,Rain from 6:20am to 7:30
K_45_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,9:00 AM,9,2,Sunny,2.8,SW,29.86,7,7.98,0.53,0.25,6.54,59.9,87.7,0.265,149,0.09,2.5,14,1,60,5,25,0.07,287,Coal ship passed 
K_46_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,11:00 AM,11,2,Sunny,5,S,29.82,6.9,7.95,0.491,0.23,6.48,64.7,82,0.248,137,0.08,1.3,12,0.8,50,8,40,0.07,238.4,N/A
K_47_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,1:00 PM,1,2,Cloudy ,7.2,S,29.9,5.7,7.88,0.504,0.24,6.56,110.7,173,0.253,286,0.1,2.1,13,1,90,7,35,0.07,224.5,"Rain from 11:30am to 12:50am, High current"
K_48_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,3:00 PM,3,2,Sunny,6.4,SE,29.9,4.8,7.93,0.414,0.19,6.42,113.8,168,0.207,237,0.09,0.3,11,1.1,110,8,40,0.09,248.7,N/A
K_49_9_25_2023,9/25/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,5:00 PM,5,2,Sunny,2.5,S,30.06,7.7,7.9,0.437,0.21,6.33,118,136,0.219,193,0.06,2.1,11,1.1,180,9,45,0.11,244.1,N/A
K_50_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,7:30 AM,7.5,2,Sunny,11.5,SE,29.76,4.8,7.8,0.455,0.21,6.05,112,533,0.226,654,0.1,2.3,14,0.6,30,10,50,0.09,305.7,N/A
K_51_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,9:00 AM,9,2,Sunny,17.6,E,29.77,4.5,7.76,0.513,0.24,5.59,105.4,613,0.252,871,0.14,2.4,16,0.7,50,18,90,0.07,297.2,N/A
K_52_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,11:00 AM,11,2,Sunny,17,S,30.08,7.5,7.81,0.4,0.19,5.82,108.6,425,0.208,568,0.19,2.5,20,0.8,80,15,75,0.06,214.5,Coal ship passed
K_53_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,1:00 PM,1,2,Cloudy,23.4,S,29.82,9.2,7.76,0.615,0.29,5.3,105.7,362,0.308,545,0.02,2.6,15,0.7,100,13,65,0.08,237.3,N/A
K_54_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,3:00 PM,3,2,Sunny,20.1,S,29.91,8.5,7.8,0.672,0.32,5.34,118,306,0.336,486,0.01,2.3,13,0.8,90,19,95,0.09,318.2,N/A
K_55_10_1_2023,9/30/2023,2023,September,9,Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,5:00 PM,5,2,Cloudy,12.9,S,29.78,6.9,7.75,0.617,0.3,5.37,119.9,312,0.309,454,0.01,2.1,11,0.8,70,21,105,0.07,301.7,N/A
K_56_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,7:00 AM,7,2,Sunny,9,NE ,29.88,6.8,7.75,0.363,0.17,6.27,99.8,181,0.181,393,0.34,0.2,8,1.2,110,14,70,0,199.7,Huge amount of tourist ship anchored at sampling site
K_57_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,9:00 AM,9,2,Sunny,9,NE ,30.04,5.9,7.73,0.342,0.16,5.98,108.9,238,0.171,335,0.04,0.1,7,1.3,60,12,60,0,245.2,N/A
K_58_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,11:00 AM,11,2,Sunny,7.5,E,30.21,5.5,7.77,0.363,0.17,5.98,111.1,183,0.182,264,0.15,1.7,8,0.9,100,10,50,0,238.1,N/A
K_59_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,1:00 PM,1,2,Sunny,4.3,NE ,30.52,5.5,7.76,0.357,0.17,6.06,102.9,122,0.179,193,0.73,2.4,8,0.9,50,15,75,0,298.5,N/A
K_60_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,3:00 PM,3,2,Sunny,1.4,SE,30.57,6.4,7.74,0.351,0.16,5.9,105.6,140,0.175,208,0.14,1.3,8,0.8,70,12,60,0,267,N/A
K_61_10_22_2023,10/22/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,5:00 PM,5,2,Sunny,2.5,W,30.28,7.2,7.77,0.352,0.17,6.05,107.7,122,0.176,185,0.22,2.3,8,0.8,50,9,45,0,251.7,N/A
K_62_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,7:00 AM,7,2,Sunny and foggy,2.7,N,28.75,4.6,7.73,0.471,0.22,6.04,80.8,270,0.237,400,0.1,2.5,13,2.2,80,19,95,0,287.5,N/A
K_63_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,9:00 AM,9,2,Sunny,1.5,N,28.82,4.3,7.74,0.452,0.22,5.55,83.5,299,0.227,445,0.1,1.3,9,2.2,100,21,105,0,224.1,N/A
K_64_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,11:00 AM,11,2,Sunny,7.5,N,29.55,7.6,7.71,0.484,0.23,5.61,99,282,0.242,401,0.1,1.4,10,3.4,120,14,70,0,244.8,N/A
K_65_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,1:00 PM,1,2,Sunny,2.7,NE,29.15,8,7.74,0.604,0.29,5.64,90.4,223,0.302,343,0.06,0.3,12,4.4,80,11,55,0,284.6,N/A
K_66_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,3:00 PM,3,2,Sunny,1.9,W,28.29,7.5,7.8,0.631,0.3,5.63,83.8,158,0.316,279,0.08,2.3,11,3.4,140,7,35,0,311.5,N/A
K_67_10_31_2023,10/31/2023,2023,Octobor,10,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,5:00 PM,5,2,Sunny,0.5,W,28.86,6.1,7.76,0.589,0.28,5.65,88.8,216,0.295,310,0.09,1.3,20,3.5,80,13,65,0,232,N/A
K_68_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,7:30 AM,7.5,2,Foggy and Cloudy,5.5,N,26.3,7.9,7.89,0.83,0.4,6.85,65.2,94.2,0.415,158,0.07,2.4,21,0.7,200,28,140,0.01,235.1,N/A
K_69_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,9:00 AM,9,2,Foggy and Cloudy,3.7,NW,26.27,6.8,7.86,0.835,0.41,6.74,72.3,99.3,0.42,246,0.02,3,16,0.7,250,25,125,0.06,62.6,N/A
K_70_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,11:00 AM,11,2,Foggy and Cloudy,6.8,WN,26.51,5.8,7.84,0.63,0.3,6.51,72.5,218,0.315,386,0.03,5.3,14,0.9,250,20,100,0.05,48.5,N/A
K_71_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,F,7:30,17:00,1:00 PM,1,2,Sunny,2.2,N,26.61,5.4,7.85,0.585,0.28,6.35,73.2,183,0.292,212,0.09,3.4,14,0.6,240,16,80,0.02,80,N/A
K_72_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,3:00 PM,3,2,Sunny,0.5,W,26.7,6.1,7.84,0.668,0.32,6.56,73.7,80.6,0.318,154,0.04,3.7,16,0.6,150,17,85,0.11,78.4,N/A
K_73_11_21_2023,11/21/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Neap,R,7:30,17:00,5:00 PM,5,2,Sunny,1,W,26.63,7.2,7.87,0.62,0.3,6.35,72.4,140,0.31,211,0.01,3.5,15,0.8,170,17,85,0.05,72.1,N/A
K_74_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,7:30 AM,7.5,2,Foggy and Sunny,10,NW,25.74,4.5,7.83,0.849,0.42,6.73,102.8,253,0.425,363,0.03,3.6,24,1.1,80,20,100,0.01,83,N/A
K_75_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,9:00 AM,9,2,Sunny,9,NW,25.76,5.5,7.8,0.797,0.39,6.4,104.6,176,0.398,263,0.01,3.9,22,1,90,15,75,0.02,122.2,N/A
K_76_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,11:00 AM,11,2,Sunny,0.5,N,25.78,7.7,7.81,0.956,0.47,6.36,106.3,132,0.478,261,0.04,3.9,22,0.9,70,18,90,0.02,254.8,N/A
K_77_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,R,7:30,17:00,1:00 PM,1,2,Sunny,1.2,N,25.85,7.8,7.84,1.191,0.59,6.43,96.9,116,0.595,200,0.03,3.1,34,0.8,90,16,80,0.01,213.8,N/A
K_78_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,3:00 PM,3,2,Sunny,0.5,N,25.91,6.7,7.82,1.111,0.55,6.38,90.8,115,0.553,176,0.09,2.7,27,0.7,100,21,105,0.05,92.7,N/A
K_79_11_28_2023,11/28/2023,2023,November,11,Post Monsoon,karamjol,22.429192,89.598257,Spring,F,7:30,17:00,5:00 PM,5,2,Sunset,0.2,N,25.94,5.6,7.81,0.94,0.46,6.29,91.3,287,0.469,453,0.1,3.3,26,1.1,80,19,95,0.01,135.5,N/A
K_80_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,F,8:00,17:00,8:00 AM,8,2,Cloudy and Foggy,5.4,N,25.21,7.2,7.85,0.877,0.43,7.14,143.3,66.1,0.436,99,0.03,3.5,23,0.7,80,19,95,0.04,55.9,N/A
K_81_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,F,8:00,17:00,9:00 AM,9,2,Sunny and Foggy,8.7,N,25.19,6.7,7.93,0.868,0.42,6.99,152.3,114,0.435,178,0.05,3.1,25,1,90,17,85,0.06,57.2,N/A
K_82_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,F,8:00,17:00,11:00 AM,11,2,Sunny,7.4,N,25.41,5.3,7.96,0.756,0.37,6.8,159.9,151,0.378,253,0.04,3.2,19,1.1,100,21,105,0.04,68.5,N/A
K_83_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,R,8:00,17:00,1:00 PM,1,2,Cloudy ,9.1,NE,25.47,6,7.95,0.752,0.37,6.7,169.3,122,0.376,180,0.09,3.5,21,0.9,100,20,100,0.05,75.1,N/A
K_84_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,R,8:00,17:00,3:00 PM,3,2,Light rain,10.2,N,25.46,7,7.94,0.757,0.37,6.81,181.6,81.1,0.378,132,0.03,2.9,20,1.1,80,17,85,0.05,85.7,"Ship passed, high wave"
K_85_12_6_2023,12/6/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Neap,R,8:00,17:00,5:00 PM,5,2,Light rain ,8.5,N,25.46,7.2,7.95,0.758,0.38,6.84,168.9,119,0.376,185,0.01,3.1,20,1,110,18,90,0.06,67.2,N/A
K_86_12_14_2023,12/14/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Spring,F,7:00,17:00,7:00 AM,7,2,Sunny and Foggy,5.2,N,23.53,4.2,7.97,1.004,0.5,7.28,89.9,298,0.501,324,0.06,3.2,28,1.4,70,23,115,0.06,65.8,N/A
K_87_12_14_2023,12/14/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,9:00 AM,9,2,Sunny and Foggy,2.7,N,23.52,5.2,7.99,0.998,0.49,7.21,88.2,149,0.501,218,0.06,3.1,29,0.6,70,21,105,0.02,55.1,N/A
K_88_12_14_2023,12/14/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,11:00 AM,11,2,Sunny,3.1,N,23.66,7.2,7.97,1.1,0.55,7.35,83,205,0.551,220,0.01,3.2,31,1,80,22,110,0.04,54.9,N/A
K_89_12_14_2023,12/14/2023,2023,December,12,Dry,karamjol,22.429192,89.598257,Spring,R,7:00,17:00,1:00 PM,1,2,Sunny,1.2,N,23.83,7.5,7.97,1.516,0.76,7.24,85,213,0.558,279,0.03,3.6,49,0.9,100,21,105,0.06,79.8,N/A
